question_type	question_text	required	page_number	option_text	option_values	variables
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1			
instruction	Please answer the following questions regarding your demographics.	0	2			
radio	What is your gender?	1	3	"Male,Female,Non-binary/third gender, Prefer not to answer"	"0,1,2,3"	demo_01
radio	What is your biological sex?	1	3	"Male, Female, Intersex"	"0,1,2"	demo_02
numeric	How old are you (in years)?	1	3			demo_03
radio	What is the highest level of education you have completed?	1	3	"Did Not Complete High School, High School/GED, Some College, Bachelor's Degree, Master's Degree, Advanced Graduate work or Ph.D"	"1,2,3,4,5,6"	demo_04
radio	Are you currently on medication?	1	3	"Yes, No, Prefer not to answer"	"1,0,3"	demo_05
textfield	"If you answered YES, please give a list of medication(s) and the daily dosage for each medication you are taking"	0	3			demo_06
textfield	"If you answered YES, please indicated when you started such medications"	0	3			demo_07
radio	"Are you currently undergoing any other type of therapy (e.g., CBT or others)?"	1	3	"Yes, No, Prefer not to answer"	"1,0,3"	demo_08
textfield	"If you answered YES, please indicate the type of therapy you are undergoing"	0	3			demo_09
textfield	"If you answered YES, please indicated when you started such therapy"	0	3			demo_10
checkbox	Have you ever been given a diagnosis of or received treatment for any of the following psychiatric disorders? (you can select more than one)	1	3	"Major Depression, Manic-Depressive (bipolar) illnes, Panic Disorder, Agoraphobia, Social Anxiety Disorder, OCD, Posttraumatic Stress Disorder, Alchol Dependence, Substance Use Disorder, Psychotic Disorder, Anorexia Nervosa, Bulimia, Binge Eating Disorder, Generalized Anxiety Disorder, Antisocial Personality Disorder, Other"	"1,2,3,4,5,6,7,8,9,10,11,12,13,14, 15, 16"	demo_11
textfield	"If you answered OTHER, please describe:"	0	3			demo_12
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	6			
